ind,origin,destination,flow
875,c13,c13,16500.0
876,v09,v02,13.0
877,f02,f24,41.0
878,k12,k11,27.0
879,b10,b09,63.0
880,r24,g08,30.0
881,u00,h04,54.0
882,m14,l04,54.0
883,s03,s03,31472.0
884,k13,p11,24.0
885,m02,m18,20.0
886,f21,f21,3243.0
887,s09,p20,6.0
888,r02,g06,33.0
889,l05,m23,105.0
890,u27,u17,32.0
891,a03,h08,32.0
892,h06,h05,3615.0
893,n16,m02,4.0
894,f23,l05,27.0
895,m16,m24,28.0
896,e14,e08,57.0
897,f17,g07,36.0
898,e03,e01,10.0
899,h05,a04,401.0
900,n12,n13,73.0
901,v12,a04,163.0
902,p04,s03,2.0
903,u03,u03,35797.0
904,l00,m03,4.0
905,m11,n15,15.0
906,t06,i01,418.0
907,e01,e02,104.0
908,u21,h03,306.0
909,m29,m00,34.0
910,k14,k12,46.0
911,f07,g09,831.0
912,n01,n11,16.0
913,v10,e01,3.0
914,m28,m30,18.0
915,u00,q06,102.0
916,a08,a02,30.0
917,i08,t06,140.0
918,c01,c09,22.0
919,q03,u23,49.0
920,r03,f16,33.0
921,l03,m22,5410.0
922,u05,h03,3483.0
923,p21,i07,22.0
924,i01,i06,9.0
925,k07,p05,9.0
926,u07,h00,588.0
927,h09,q05,127.0
928,k14,k16,16.0
929,r21,r15,1.0
930,h06,a00,87.0
931,o09,o03,192.0
932,r18,g05,114.0
933,f13,f09,4.0
934,q05,q01,123.0
935,l05,l00,323.0
936,i08,e07,9.0
937,a06,v08,13.0
938,m17,l06,111.0
939,u22,u27,156.0
940,r18,r08,5.0
941,v12,u01,14.0
942,f23,m27,16.0
943,a05,a12,63.0
944,u06,q01,20.0
945,r19,g01,116.0
946,v07,j00,874.0
947,i17,i14,44.0
948,h06,u25,6.0
949,g09,g07,214.0
950,u14,u08,26.0
951,m20,m25,73.0
952,p19,p23,59.0
953,r24,r08,12.0
954,m03,m29,14.0
955,u07,u17,79.0
956,k10,p20,3.0
957,p25,t01,112.0
958,a06,a12,490.0
959,k11,k16,13.0
960,s09,s12,197.0
961,m07,m01,32.0
962,k19,n03,42.0
963,u10,u26,453.0
964,r02,r12,4.0
965,m25,l03,458.0
966,r21,r13,4.0
967,h01,u10,210.0
968,r07,r06,15.0
969,q01,h06,1338.0
970,h10,a04,539.0
971,e08,v09,1.0
972,n06,k07,205.0
973,e13,i19,45.0
974,h01,u13,1230.0
975,f04,g09,161.0
976,r32,g04,31.0
977,g02,r02,18.0
978,f18,r01,15.0
979,p12,t03,244.0
980,p03,p21,3.0
981,i09,p21,5.0
982,q01,u12,3.0
983,m04,m19,31.0
984,u18,u24,1100.0
985,m03,l06,9.0
986,p05,p02,20.0
987,i02,i06,633.0
988,f00,f11,19.0
989,m20,m17,6.0
990,n17,n02,91.0
991,i04,p13,15.0
992,f17,r30,27.0
993,g02,r30,8.0
994,f07,g05,429.0
995,k04,k03,62.0
996,u17,h00,5409.0
997,i09,i00,186.0
998,i14,p13,6.0
999,h02,q02,102.0
1000,u09,u26,1292.0
1001,p10,k15,11.0
1002,u22,h03,2839.0
1003,p19,i16,65.0
1004,p07,p23,8.0
1005,u07,q02,12.0
1006,p13,t05,27.0
1007,i16,i15,149.0
1008,v05,a08,109.0
1009,v11,e16,2.0
1010,p16,k17,4.0
1011,g06,g07,50.0
1012,v08,a10,18.0
1013,h02,h06,1398.0
1014,b10,u16,1.0
1015,e05,i12,22.0
1016,s02,s05,18.0
1017,n16,n13,22.0
1018,r10,r10,8573.0
1019,m26,m03,1.0
1020,k06,n01,1.0
1021,p19,p09,123.0
1022,v01,a08,98.0
1023,i19,i08,59.0
1024,g05,f01,133.0
1025,u16,u18,409.0
1026,h02,q04,5.0
1027,a12,v01,430.0
1028,h09,u17,970.0
1029,q05,h01,565.0
1030,a09,u14,164.0
1031,o11,o06,85.0
1032,v04,v09,7.0
1033,c01,c04,3.0
1034,h10,u13,860.0
1035,f13,f17,147.0
1036,f23,f13,1697.0
1037,p17,t07,187.0
1038,o11,o12,113.0
1039,n15,m17,5.0
1040,p24,i15,73.0
1041,p24,t02,169.0
1042,b07,b02,2.0
1043,p01,i17,22.0
1044,p22,p24,489.0
1045,f12,m26,1.0
1046,e04,e08,461.0
1047,i06,e14,3.0
1048,c02,c02,4325.0
1049,p22,p02,2361.0
1050,p00,p05,2.0
1051,s00,t01,153.0
1052,i07,e03,13.0
1053,e01,e12,9.0
1054,s07,s05,22.0
1055,t04,p19,577.0
1056,d01,m08,14.0
1057,r29,r02,17.0
1058,p05,k10,7.0
1059,i12,s00,4.0
1060,k13,p03,21.0
1061,h00,u23,379.0
1062,u03,u02,888.0
1063,u13,a01,863.0
1064,k10,k18,8.0
1065,i08,t00,437.0
1066,p02,p04,324.0
1067,u03,u00,16.0
1068,i20,t06,86.0
1069,p16,p20,2.0
1070,l03,g00,236.0
1071,p06,p08,1.0
1072,f11,f23,6.0
1073,p21,t00,59.0
1074,g08,g05,848.0
1075,a03,a11,2835.0
1076,r21,r26,409.0
1077,p24,p13,555.0
1078,i14,i01,2150.0
1079,u17,u26,1686.0
1080,l05,f25,12.0
1081,p15,p09,15.0
1082,p09,p24,34.0
1083,f14,l01,38.0
1084,s10,p10,7.0
1085,m12,m23,40.0
1086,h05,h03,1718.0
1087,m04,m00,7.0
1088,n17,n10,32.0
1089,u03,u25,55.0
1090,l01,m04,101.0
1091,n04,d01,1909.0
1092,f22,g10,7523.0
1093,e09,e00,48.0
1094,p14,i17,31.0
1095,m22,l06,247.0
1096,h06,q02,438.0
1097,s03,k03,1.0
1098,h01,q06,124.0
1099,v04,a10,18.0
1100,e17,j01,10.0
1101,p19,s07,288.0
1102,u18,u12,14.0
1103,k09,n10,11.0
1104,h10,u00,26.0
1105,u27,u05,58.0
1106,g07,r29,3.0
1107,m18,m26,12.0
1108,h04,h05,1817.0
1109,f23,l01,36.0
1110,m24,m19,57.0
1111,m24,m20,395.0
1112,h06,u23,979.0
1113,p06,p03,72.0
1114,u27,h09,68.0
1115,e16,e10,37.0
1116,d01,k18,4.0
1117,u23,q06,95.0
1118,p18,i10,101.0
1119,m19,f13,28.0
1120,u10,u14,657.0
1121,a12,j02,595.0
1122,f17,r15,3.0
1123,i07,t05,389.0
1124,q01,u08,19.0
1125,e02,i19,9.0
1126,v11,e08,3.0
1127,v08,v03,11.0
1128,o06,o04,16.0
1129,k14,d00,188.0
1130,r19,r13,3.0
1131,u04,u04,3624.0
1132,u24,u27,45.0
1133,n01,k13,5.0
1134,p24,t03,169.0
1135,m06,m20,2326.0
1136,u01,a07,195.0
1137,f16,f16,56203.0
